EST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2013-6-8,26,19,13,16,13,12,93,75,56,1016,1008,1002,16,11,2,32,19,47,13.72,7,Lluvia,311
2013-6-9,27,22,16,14,12,10,78,57,36,1022,1019,1016,16,16,16,27,14,37,0.00,2,,284
2013-6-10,21,18,14,14,13,12,93,75,57,1023,1021,1017,16,13,5,26,13,34,22.35,7,Lluvia,75
2013-6-11,18,16,13,14,13,12,100,89,78,1016,1006,1002,16,9,0,37,15,42,35.05,8,Lluvia,48
2013-6-12,22,18,13,13,12,10,100,75,49,1009,1004,1001,16,12,4,45,19,63,1.78,7,Lluvia,321
2013-6-13,19,16,12,14,11,10,93,78,63,1009,1008,1005,16,13,6,37,14,47,18.29,6,Lluvia,105
2013-6-14,23,18,12,12,11,8,93,69,44,1007,1006,1004,16,13,6,35,18,45,25.91,7,Lluvia,22
2013-6-15,27,22,17,11,7,4,67,46,25,1014,1012,1008,16,16,16,29,17,39,0.00,1,,297
2013-6-16,25,21,16,17,11,7,78,57,36,1014,1011,1006,16,16,16,35,17,42,T,5,,237
2013-6-17,31,24,17,17,15,12,93,64,34,1013,1010,1008,16,15,1,52,18,71,10.92,4,Niebla-Lluvia-Tormenta,253
2013-6-18,22,18,15,16,14,13,93,77,61,1014,1013,1012,16,12,2,37,11,42,16.00,7,Lluvia-Tormenta,49
2013-6-19,22,18,14,14,11,9,93,70,47,1021,1016,1013,16,16,3,26,17,32,0.00,4,,68
2013-6-20,25,20,14,14,12,8,80,63,45,1025,1023,1022,16,16,16,27,15,34,0.00,2,,171
2013-6-21,29,23,16,17,14,11,78,58,37,1025,1024,1022,16,16,14,26,13,35,0.00,3,,209
2013-6-22,29,24,18,16,14,12,68,53,37,1023,1022,1020,16,16,16,34,19,47,0.00,5,,224
2013-6-23,33,26,19,21,17,12,74,60,46,1022,1019,1015,16,16,16,39,21,52,T,5,Lluvia,226
2013-6-24,35,28,21,21,20,18,90,65,39,1016,1014,1011,16,15,3,35,18,47,8.38,4,Lluvia-Tormenta,259
2013-6-25,33,27,21,20,18,17,84,63,41,1013,1010,1007,16,16,16,37,19,50,T,5,Lluvia-Tormenta,252
2013-6-26,29,23,18,19,19,18,100,78,55,1011,1009,1006,16,11,0,24,11,32,1.02,6,Niebla-Lluvia,70
2013-6-27,19,18,16,18,17,16,100,94,87,1012,1010,1008,2,0,0,21,12,24,0.76,8,Niebla-Lluvia,64
2013-6-28,27,22,17,22,19,16,100,85,69,1007,1002,999,16,8,0,37,21,47,11.43,7,Niebla-Lluvia-Tormenta,151
2013-6-29,28,25,21,21,20,18,97,78,58,1007,1002,1000,16,14,2,35,20,45,1.78,6,Lluvia,200
2013-6-30,29,25,21,21,20,19,90,78,65,1014,1010,1007,16,15,6,29,16,37,2.79,7,Lluvia,195
2013-7-1,29,26,22,23,22,21,93,79,65,1019,1016,1014,16,15,10,34,14,42,0.76,7,Lluvia,188
2013-7-2,28,22,16,22,19,15,97,81,65,1023,1021,1019,16,14,3,29,14,35,T,8,Lluvia,152
2013-7-3,33,25,17,22,19,16,100,76,52,1023,1022,1020,16,12,0,35,20,50,0.00,6,Niebla,217
2013-7-4,34,29,24,23,22,21,87,67,46,1023,1021,1019,16,16,16,35,19,48,0.00,2,,244
2013-7-5,35,31,26,23,22,20,79,62,44,1021,1019,1017,16,16,16,32,20,53,0.00,2,,242
2013-7-6,34,30,26,22,20,16,79,60,41,1018,1017,1015,16,16,16,29,19,39,0.00,3,,272
2013-7-7,34,29,24,22,19,16,87,65,43,1016,1015,1013,16,16,16,24,12,35,T,5,Lluvia,258
2013-7-8,29,24,19,22,19,17,93,79,65,1018,1015,1013,16,14,10,27,14,34,0.25,6,Lluvia-Tormenta,93
2013-7-9,22,21,18,18,18,17,93,87,81,1020,1019,1017,16,10,1,19,9,24,T,8,Lluvia,62
2013-7-10,30,25,19,23,21,18,100,81,61,1019,1014,1009,16,8,0,39,16,45,0.25,7,Niebla-Lluvia,117
2013-7-11,28,26,23,22,21,20,93,81,69,1013,1010,1008,16,14,6,26,13,34,4.32,7,Lluvia,236
2013-7-12,23,21,19,21,16,14,90,76,61,1023,1019,1013,16,16,16,35,21,42,0.00,6,,51
2013-7-13,22,21,19,19,18,16,93,86,78,1027,1025,1023,16,15,11,19,10,23,T,8,Lluvia,75
2013-7-14,34,27,21,23,21,19,100,74,47,1026,1025,1023,16,10,0,23,8,39,0.00,6,Niebla,156
2013-7-15,33,28,23,23,21,18,88,68,47,1022,1021,1019,16,16,16,24,11,26,0.00,3,,182
2013-7-16,34,29,24,21,19,17,82,62,41,1022,1020,1019,16,16,10,23,10,27,0.25,2,Lluvia,40
2013-7-17,35,29,23,22,21,19,87,67,47,1022,1019,1015,16,16,14,32,14,39,0.00,2,,167
2013-7-18,33,29,24,23,21,19,87,70,52,1016,1015,1014,16,16,16,29,17,35,0.00,4,,145
2013-7-19,37,32,26,24,22,20,85,62,38,1013,1010,1006,16,15,11,42,24,60,0.00,2,,230
2013-7-20,36,31,26,23,21,16,79,60,40,1009,1006,1004,16,14,10,37,21,47,0.00,4,,254
2013-7-21,26,23,20,19,17,16,90,72,54,1015,1013,1010,16,16,16,24,14,29,0.25,6,,67
2013-7-22,24,22,20,20,19,18,90,80,69,1016,1015,1012,16,14,1,23,12,27,0.00,7,,84
